Nombre;Estrellas;Web;Distancia;Codigo descuento;Descuento;Condiciones;Anotaciones
Hotel Palacio del Carmen;5;https://www.marriott.com/es/hotels/scqak-hotel-palacio-del-carmen-autograph-collection/overview/;700 m 9 minutos;;;;
Hotel Exe Peregrino;4;https://www.eurostarshotels.com/exe-peregrino/disponibilidad.html?utm_campaign=googlehpa_es&id_hotel=SYN2183&start=2025-09-12&utm_medium=cpc&promotion_code=BODABYP&guests[0][adults]=2&id_referer=GOOGLEHPA_ES&utm_source=googlehpa&city_id=100159&td=m00ga01&end=2025-09-14&avail_code=GOOGLEHPA_ES&referer_code=GOOGLEHPA_ES#monoHotelAvail/EUR;1,1 km 16 minutos;BODABYP;15% de descuento para las fechas 12 y 13 de septiembre;Aplicable hasta el 13 de agosto;
Eurostars Gran Hotel Santiago;4;https://www.eurostarshotels.com/eurostars-gran-hotel-santiago/disponibilidad.html?utm_campaign=googlehpa_es&id_hotel=H233&start=2025-09-12&utm_medium=cpc&promotion_code=BODABYP&guests[0][adults]=2&id_referer=GOOGLEHPA_ES&utm_source=googlehpa&city_id=100159&td=m00ga01&end=2025-09-14&avail_code=GOOGLEHPA_ES&referer_code=GOOGLEHPA_ES#monoHotelAvail/EUR;750 m 11 minutos;BODABYP;;;
Lux Apartamentos Santiago;3;https://www.gescahoteles.com/lux-apartamentos-santiago/;900m 13 minutos;;;;
Hotel San Lorenzo;3;https://www.hsanlorenzo.com/es/;500m 7 minutos;;;;Sin disponibilidad
Hotel Herradura;3;https://www.hotelherradura.es/#;900 m 14 minutos;dar como referencia nuestros nombres “Boda Bea y Pablo - 13 septiembre 2025”;;;"Las tarifas que se aplican son las siguientes:
Habitación doble: 120€
Habitación individual: 89€
Cama supletoria 33€
Con desayuno e IVA incluido"
Alameda Rooms;2;https://www.gescahoteles.com/alameda-rooms-santiago/;1,1 km 16 minutos;;;;
Pombal Rooms Santiago;2;https://www.gescahoteles.com/pombal-rooms/;750 m 11 minutos ;;;;
Hotel Pazos Alba;2;https://hotelpazosalba.com;850m 12 minutos;;;;
Lux Apartamentos Rosalía;Apartamentos;https://www.gescahoteles.com/lux-apartamentos-rosalia/;900 m 13 minutos;;;;Apartamentos de 2 habitaciones y sofá cama.
